YEAR_MONTH,PRESENTATION_BNF,PRESENTATION_BNF_DESCR,ITEMS,TOTAL QUANTITY
202111,0403030E0AAALAL,Fluoxetine 10mg capsules,204,6327
202111,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,100,14595
202112,0212000B0AAABAB,Atorvastatin 20mg tablets,250,10632
202112,0403030E0AAALAL,Fluoxetine 10mg capsules,246,7273
202112,0403030E0AAAMAM,Fluoxetine 30mg capsules,1,56
202112,0212000B0BBAFAM,Lipitor 20mg chewable tablets,2,56
202112,0105010E0BBABAB,Salazopyrin EN-Tabs 500mg,1,84
202112,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,1812,249552
202201,0212000B0AAAMAM,Atorvastatin 20mg chewable tablets sugar free,1,14
202201,0212000B0AAABAB,Atorvastatin 20mg tablets,147,5982
202201,0403030E0AAALAL,Fluoxetine 10mg capsules,228,7079
202201,0407010H0AACMCM,Paracetamol 125mg suppositories,8,110
202201,0407010H0AACBCB,Paracetamol 250mg suppositories,2,30
202201,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,1642,220248
202202,0212000B0AAAAAA,Atorvastatin 10mg tablets,2,88
202202,0212000B0AAABAB,Atorvastatin 20mg tablets,4,206
202202,0403030E0AAALAL,Fluoxetine 10mg capsules,55,1483
202202,0407010H0AACMCM,Paracetamol 125mg suppositories,9,160
202202,0407010H0AACBCB,Paracetamol 250mg suppositories,4,50
202202,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,31,5093
202203,0212000B0AAAAAA,Atorvastatin 10mg tablets,14,300
202203,0212000B0AAABAB,Atorvastatin 20mg tablets,23,933
202203,0403030E0AAALAL,Fluoxetine 10mg capsules,73,2129
202203,0403030E0AAAAAA,Fluoxetine 20mg capsules,1,28
202203,0407010H0AACMCM,Paracetamol 125mg suppositories,6,100
202203,0407010H0AACBCB,Paracetamol 250mg suppositories,1,20
202203,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,239,34972
202203,0105010E0AAAAAA,Sulfasalazine 500mg tablets,22,3056
202204,0212000B0AAABAB,Atorvastatin 20mg tablets,3,90
202204,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),1,480
202204,0403030E0AAALAL,Fluoxetine 10mg capsules,67,1861
202204,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,1,160
202204,0407010H0AACMCM,Paracetamol 125mg suppositories,1,20
202204,0407010H0AACBCB,Paracetamol 250mg suppositories,1,20
202204,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,44,7464
202204,0105010E0AAAAAA,Sulfasalazine 500mg tablets,3,420
202205,0212000B0AAABAB,Atorvastatin 20mg tablets,1,30
202205,0604011G0BCAFBN,Estraderm MX 100 patches,5,44
202205,0604011G0BCAEBL,Estraderm MX 50 patches,74,1264
202205,0604011G0BCAGBR,Estraderm MX 75 patches,7,96
202205,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),134,28240
202205,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,5,7
202205,0604011G0AABJBJ,Estradiol 1mg gel sachets,1,56
202205,0604011G0AABLBL,Estradiol 50micrograms/24hours transdermal patches,1,24
202205,0702010F0AAACAC,Estriol 0.01% cream with applicator,56,113
202205,0702010F0AAAAAA,Estriol 0.1% cream,24,555
202205,0604011G0BFADBN,Evorel 100 patches,8,96
202205,0604011G0BFABBA,Evorel 25 patches,41,764
202205,0604011G0BFAABL,Evorel 50 patches,109,1984
202205,0604011G0BFACBR,Evorel 75 patches,7,122
202205,0604011G0BKACBN,FemSeven 100 patches,1,6
202205,0604011G0BKAABL,FemSeven 50 patches,18,123
202205,0604011G0BKABBR,FemSeven 75 patches,5,34
202205,0403030E0AAALAL,Fluoxetine 10mg capsules,73,2580
202205,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,6,9
202205,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,132,28800
202205,0702010F0BCAAAA,Ovestin 1mg cream,19,450
202205,0407010H0AACMCM,Paracetamol 125mg suppositories,1,10
202205,0604011Q0BCAEAH,Premique Low Dose 0.3mg/1.5mg modified-release tablets,12,1050
202205,0604011G0BLABBN,Progynova TS 100micrograms/24hours transdermal patches,3,30
202205,0604011G0BLAABL,Progynova TS 50micrograms/24hours transdermal patches,34,352
202205,0604011G0BPABBJ,Sandrena 1mg gel sachets,7,532
202205,0604011G0BPAABI,Sandrena 500microgram gel sachets,3,140
202205,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,8,1680
202205,0105010E0AAAAAA,Sulfasalazine 500mg tablets,3,616
202206,0212000B0AAAAAA,Atorvastatin 10mg tablets,4,116
202206,0604011G0BCAFBN,Estraderm MX 100 patches,29,364
202206,0604011G0BCADBA,Estraderm MX 25 patches,10,149
202206,0604011G0BCAEBL,Estraderm MX 50 patches,165,2818
202206,0604011G0BCAGBR,Estraderm MX 75 patches,53,758
202206,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),188,38240
202206,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,11,125
202206,0604011G0AABJBJ,Estradiol 1mg gel sachets,12,950
202206,0604011G0AABABA,Estradiol 25micrograms/24hours transdermal patches,2,16
202206,0604011G0AABIBI,Estradiol 500microgram gel sachets,5,220
202206,0604011G0AABLBL,Estradiol 50micrograms/24hours transdermal patches,3,28
202206,0702010F0AAACAC,Estriol 0.01% cream with applicator,355,770
202206,0702010F0AAAAAA,Estriol 0.1% cream,40,1020
202206,0604011G0BFADBN,Evorel 100 patches,48,652
202206,0604011G0BFABBA,Evorel 25 patches,321,5674
202206,0604011G0BFAABL,Evorel 50 patches,865,14353
202206,0604011G0BFACBR,Evorel 75 patches,95,1416
202206,0604011G0BKACBN,FemSeven 100 patches,5,34
202206,0604011G0BKAABL,FemSeven 50 patches,52,394
202206,0604011G0BKABBR,FemSeven 75 patches,34,263
202206,0403030E0AAALAL,Fluoxetine 10mg capsules,68,2147
202206,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,23,583
202206,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,132,28720
202206,0702010F0BCAAAA,Ovestin 1mg cream,25,570
202206,0407010H0AACMCM,Paracetamol 125mg suppositories,3,30
202206,0604011Q0BCAEAH,Premique Low Dose 0.3mg/1.5mg modified-release tablets,3,196
202206,0604011G0BLABBN,Progynova TS 100micrograms/24hours transdermal patches,3,14
202206,0604011G0BLAABL,Progynova TS 50micrograms/24hours transdermal patches,79,639
202206,0604011G0BPABBJ,Sandrena 1mg gel sachets,23,1434
202206,0604011G0BPAABI,Sandrena 500microgram gel sachets,17,1100
202206,0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,2,224
202207,0302000N0BJAABF,Aloflute 25micrograms/dose / 125micrograms/dose inhaler,1,2
202207,0212000B0AAAAAA,Atorvastatin 10mg tablets,3,116
202207,0212000B0AAASAS,Atorvastatin 20mg/5ml oral suspension sugar free,3,450
202207,0604011G0BCAFBN,Estraderm MX 100 patches,8,112
202207,0604011G0BCADBA,Estraderm MX 25 patches,4,84
202207,0604011G0BCAEBL,Estraderm MX 50 patches,63,953
202207,0604011G0BCAGBR,Estraderm MX 75 patches,29,430
202207,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),210,41600
202207,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,2,4
202207,0604011G0AABJBJ,Estradiol 1mg gel sachets,12,1134
202207,0604011G0AABABA,Estradiol 25micrograms/24hours transdermal patches,1,8
202207,0604011G0AABIBI,Estradiol 500microgram gel sachets,6,308
202207,0604011G0AABLBL,Estradiol 50micrograms/24hours transdermal patches,9,200
202207,0702010F0AAACAC,Estriol 0.01% cream with applicator,125,278
202207,0702010F0AAAAAA,Estriol 0.1% cream,29,570
202207,0604011G0BFADBN,Evorel 100 patches,31,436
202207,0604011G0BFABBA,Evorel 25 patches,178,3347
202207,0604011G0BFAABL,Evorel 50 patches,357,5655
202207,0604011G0BFACBR,Evorel 75 patches,52,919
202207,0604011G0BKACBN,FemSeven 100 patches,2,12
202207,0604011G0BKAABL,FemSeven 50 patches,44,413
202207,0604011G0BKABBR,FemSeven 75 patches,11,95
202207,0403030E0AAALAL,Fluoxetine 10mg capsules,70,2204
202207,0302000N0AABFBF,Fluticasone 125mcg/dose / Salmeterol 25mcg/dose inh CFC free,1,2
202207,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,23,940
202207,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,150,31440
202207,0702010F0BCAAAA,Ovestin 1mg cream,17,495
202207,0407010H0AABQBQ,Paracetamol 120mg suppositories,1,10
202207,0407010H0AACMCM,Paracetamol 125mg suppositories,14,174
202207,0604011Q0BCAEAH,Premique Low Dose 0.3mg/1.5mg modified-release tablets,5,420
202207,0604012S0AAALAL,Progesterone micronised 100mg capsules,1,90
202207,0604011G0BLAABL,Progynova TS 50micrograms/24hours transdermal patches,16,153
202207,0604011G0BPABBJ,Sandrena 1mg gel sachets,25,2152
202207,0604011G0BPAABI,Sandrena 500microgram gel sachets,10,776
202207,0302000N0BIAABF,Sereflo 25micrograms/dose / 125micrograms/dose inhaler,2,3
202207,0302000N0BCAEBF,Seretide 125 Evohaler,16,18
202207,0302000N0BFAABF,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,10,13
202208,0302000N0BGABBF,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler,2,3
202208,0302000N0BJAABF,Aloflute 25micrograms/dose / 125micrograms/dose inhaler,22,28
202208,0302000N0BJABBG,Aloflute 25micrograms/dose / 250micrograms/dose inhaler,1,1
202208,0212000B0AAAAAA,Atorvastatin 10mg tablets,4,148
202208,0212000B0AAASAS,Atorvastatin 20mg/5ml oral suspension sugar free,2,300
202208,0604011G0BCADBA,Estraderm MX 25 patches,3,56
202208,0604011G0BCAEBL,Estraderm MX 50 patches,41,813
202208,0604011G0BCAGBR,Estraderm MX 75 patches,8,104
202208,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),142,28880
202208,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,7,357
202208,0604011G0AABJBJ,Estradiol 1mg gel sachets,10,843
202208,0604011G0AABABA,Estradiol 25micrograms/24hours transdermal patches,1,8
202208,0604011G0AABIBI,Estradiol 500microgram gel sachets,7,332
202208,0604011G0AABRBR,Estradiol 75micrograms/24hours transdermal patches,1,8
202208,0702010F0AAACAC,Estriol 0.01% cream with applicator,120,232
202208,0702010F0AAAAAA,Estriol 0.1% cream,14,480
202208,0604011G0BFADBN,Evorel 100 patches,3,64
202208,0604011G0BFABBA,Evorel 25 patches,141,2606
202208,0604011G0BFAABL,Evorel 50 patches,130,2352
202208,0604011G0BFACBR,Evorel 75 patches,34,564
202208,0604011G0BKAABL,FemSeven 50 patches,25,224
202208,0604011G0BKABBR,FemSeven 75 patches,6,40
202208,0403030E0AAALAL,Fluoxetine 10mg capsules,43,1453
202208,0302000N0AABFBF,Fluticasone 125mcg/dose / Salmeterol 25mcg/dose inh CFC free,6,7
202208,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,22,544
202208,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,117,28960
202208,0702010F0BCAAAA,Ovestin 1mg cream,9,195
202208,0407010H0AACMCM,Paracetamol 125mg suppositories,3,50
202208,0604011G0BLAABL,Progynova TS 50micrograms/24hours transdermal patches,17,173
202208,0604011G0BPABBJ,Sandrena 1mg gel sachets,18,1748
202208,0604011G0BPAABI,Sandrena 500microgram gel sachets,11,642
202208,0302000N0BIAABF,Sereflo 25micrograms/dose / 125micrograms/dose inhaler,39,52
202208,0302000N0BCAEBF,Seretide 125 Evohaler,83,109
202208,0302000N0BFAABF,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,71,92
202208,21010230102,Volumatic,3,3
202209,0302000N0BJAABF,Aloflute 25micrograms/dose / 125micrograms/dose inhaler,34,39
202209,0212000B0AAAAAA,Atorvastatin 10mg tablets,2,112
202209,0212000B0AAASAS,Atorvastatin 20mg/5ml oral suspension sugar free,2,300
202209,0604011G0BCAEBL,Estraderm MX 50 patches,11,190
202209,0604011G0BCAGBR,Estraderm MX 75 patches,1,24
202209,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),75,17760
202209,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,6,231
202209,0604011G0AABJBJ,Estradiol 1mg gel sachets,9,867
202209,0604011G0AABABA,Estradiol 25micrograms/24hours transdermal patches,4,72
202209,0604011G0AABIBI,Estradiol 500microgram gel sachets,3,252
202209,0604011G0AABLBL,Estradiol 50micrograms/24hours transdermal patches,1,24
202209,0702010F0AAACAC,Estriol 0.01% cream with applicator,37,72
202209,0702010F0AAAAAA,Estriol 0.1% cream,21,720
202209,0604011G0BFADBN,Evorel 100 patches,17,364
202209,0604011G0BFABBA,Evorel 25 patches,164,3512
202209,0604011G0BFAABL,Evorel 50 patches,45,791
202209,0604011G0BFACBR,Evorel 75 patches,8,120
202209,0604011G0BKAABL,FemSeven 50 patches,2,13
202209,0604011G0BKABBR,FemSeven 75 patches,2,18
202209,0403030E0AAALAL,Fluoxetine 10mg capsules,62,2207
202209,0302000N0AABFBF,Fluticasone 125mcg/dose / Salmeterol 25mcg/dose inh CFC free,5,8
202209,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,16,536
202209,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,91,21600
202209,0702010F0BCAAAA,Ovestin 1mg cream,9,240
202209,0407010H0AABQBQ,Paracetamol 120mg suppositories,2,16
202209,0407010H0AACMCM,Paracetamol 125mg suppositories,1,10
202209,0604011G0BPABBJ,Sandrena 1mg gel sachets,11,773
202209,0604011G0BPAABI,Sandrena 500microgram gel sachets,7,768
202209,0302000N0BIAABF,Sereflo 25micrograms/dose / 125micrograms/dose inhaler,63,87
202209,0302000N0BCAEBF,Seretide 125 Evohaler,88,112
202209,0302000N0BCAFBG,Seretide 250 Evohaler,1,1
202209,0302000N0BFAABF,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,52,64
202210,0302000N0BGABBF,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler,2,3
202210,0302000N0BJAABF,Aloflute 25micrograms/dose / 125micrograms/dose inhaler,11,15
202210,0604011G0BCAFBN,Estraderm MX 100 patches,1,24
202210,0604011G0BCAEBL,Estraderm MX 50 patches,11,212
202210,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),51,12960
202210,0604011G0AABTBT,Estradiol 1.53mg/dose transdermal spray,5,24
202210,0604011G0AABJBJ,Estradiol 1mg gel sachets,2,97
202210,0604011G0AABIBI,Estradiol 500microgram gel sachets,3,224
202210,0702010F0AAACAC,Estriol 0.01% cream with applicator,20,39
202210,0702010F0AAAAAA,Estriol 0.1% cream,20,510
202210,0604011G0BFADBN,Evorel 100 patches,21,456
202210,0604011G0BFABBA,Evorel 25 patches,100,2206
202210,0604011G0BFAABL,Evorel 50 patches,25,509
202210,0604011G0BFACBR,Evorel 75 patches,3,64
202210,0604011G0BKAABL,FemSeven 50 patches,6,56
202210,0604011G0BKABBR,FemSeven 75 patches,1,4
202210,0403030E0AAALAL,Fluoxetine 10mg capsules,49,1796
202210,0302000N0AABFBF,Fluticasone 125mcg/dose / Salmeterol 25mcg/dose inh CFC free,3,4
202210,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,8,27
202210,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,56,13920
202210,0702010F0BCAAAA,Ovestin 1mg cream,6,180
202210,0604011G0BLAABL,Progynova TS 50micrograms/24hours transdermal patches,2,20
202210,0604011G0BPABBJ,Sandrena 1mg gel sachets,7,742
202210,0604011G0BPAABI,Sandrena 500microgram gel sachets,7,518
202210,0302000N0BIAABF,Sereflo 25micrograms/dose / 125micrograms/dose inhaler,25,35
202210,0302000N0BCAEBF,Seretide 125 Evohaler,51,64
202210,0302000N0BFAABF,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,22,28
202211,0302000N0BJAABF,Aloflute 25micrograms/dose / 125micrograms/dose inhaler,1,2
202211,0212000B0AAAAAA,Atorvastatin 10mg tablets,1,60
202211,0212000B0AAABAB,Atorvastatin 20mg tablets,1,30
202211,0604011G0BCAEBL,Estraderm MX 50 patches,4,82
202211,0604011G0AAAUAU,Estradiol 0.06% gel (750microgram per actuation),71,17760
202211,0604011G0AABJBJ,Estradiol 1mg gel sachets,5,364
202211,0604011G0AABABA,Estradiol 25micrograms/24hours transdermal patches,1,24
202211,0604011G0AABIBI,Estradiol 500microgram gel sachets,2,168
202211,0702010F0AAACAC,Estriol 0.01% cream with applicator,10,20
202211,0702010F0AAAAAA,Estriol 0.1% cream,10,330
202211,0604011G0BFADBN,Evorel 100 patches,1,48
202211,0604011G0BFABBA,Evorel 25 patches,22,420
202211,0604011G0BFAABL,Evorel 50 patches,20,464
202211,0604011G0BFACBR,Evorel 75 patches,8,224
202211,0604011G0BKAABL,FemSeven 50 patches,2,16
202211,0403030E0AAALAL,Fluoxetine 10mg capsules,51,1794
202211,0604011G0BWAABT,Lenzetto 1.53mg/dose transdermal spray,6,14
202211,0604011G0BIABAU,Oestrogel Pump-Pack 0.06% gel,61,16320
202211,0702010F0BCAAAA,Ovestin 1mg cream,7,150
202211,0604011G0BPABBJ,Sandrena 1mg gel sachets,8,614
202211,0604011G0BPAABI,Sandrena 500microgram gel sachets,2,182
